gender,equipmentLevel,drugTested,divisionCode,weightClass,competitionType,lift,location,recordWeight,name
FEMALE,RAW,TESTED,J,47,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,47,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,47,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,52,FULL-POWER,SQUAT,STATE:SC,110,Miriam Fernanda Zepeda
FEMALE,RAW,TESTED,J,52,FULL-POWER,BENCH-PRESS,STATE:SC,45,Alejandra Acosta
FEMALE,RAW,TESTED,J,52,FULL-POWER,DEADLIFT,STATE:SC,115,Miriam Fernanda Zepeda
FEMALE,RAW,TESTED,J,52,FULL-POWER,TOTAL,STATE:SC,270,Miriam Fernanda Zepeda
FEMALE,RAW,TESTED,J,57,FULL-POWER,SQUAT,STATE:SC,140,Samanta Contreras
FEMALE,RAW,TESTED,J,57,FULL-POWER,BENCH-PRESS,STATE:SC,97.5,Samanta Contreras
FEMALE,RAW,TESTED,J,57,FULL-POWER,DEADLIFT,STATE:SC,167.5,Samanta Contreras
FEMALE,RAW,TESTED,J,57,FULL-POWER,TOTAL,STATE:SC,405,Samanta Contreras
FEMALE,RAW,TESTED,J,63,FULL-POWER,SQUAT,STATE:SC,157.5,Michelle Guirado
FEMALE,RAW,TESTED,J,63,FULL-POWER,BENCH-PRESS,STATE:SC,102.5,Michelle Guirado
FEMALE,RAW,TESTED,J,63,FULL-POWER,DEADLIFT,STATE:SC,190,Michelle Guirado
FEMALE,RAW,TESTED,J,63,FULL-POWER,TOTAL,STATE:SC,450,Michelle Guirado
FEMALE,RAW,TESTED,J,69,FULL-POWER,SQUAT,STATE:SC,147.5,Giselle Valenzuela
FEMALE,RAW,TESTED,J,69,FULL-POWER,BENCH-PRESS,STATE:SC,80,Giselle Valenzuela
FEMALE,RAW,TESTED,J,69,FULL-POWER,DEADLIFT,STATE:SC,182.5,Giselle Valenzuela
FEMALE,RAW,TESTED,J,69,FULL-POWER,TOTAL,STATE:SC,410,Giselle Valenzuela
FEMALE,RAW,TESTED,J,76,FULL-POWER,SQUAT,STATE:SC,152.5,Vianney Alejandra
FEMALE,RAW,TESTED,J,76,FULL-POWER,BENCH-PRESS,STATE:SC,80,Alexis Cordova
FEMALE,RAW,TESTED,J,76,FULL-POWER,DEADLIFT,STATE:SC,175,Vianney Alejandra
FEMALE,RAW,TESTED,J,76,FULL-POWER,TOTAL,STATE:SC,377.5,Vianney Alejandra
FEMALE,RAW,TESTED,J,84,FULL-POWER,SQUAT,STATE:SC,95,Ana Camila Ortega
FEMALE,RAW,TESTED,J,84,FULL-POWER,BENCH-PRESS,STATE:SC,47.5,Ana Camila Ortega
FEMALE,RAW,TESTED,J,84,FULL-POWER,DEADLIFT,STATE:SC,105,Ana Camila Ortega
FEMALE,RAW,TESTED,J,84,FULL-POWER,TOTAL,STATE:SC,247.5,Ana Camila Ortega
FEMALE,RAW,TESTED,J,84+,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,84+,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,84+,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,J,84+,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,43,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,43,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,43,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,43,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,47,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,47,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,47,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,47,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,52,FULL-POWER,SQUAT,STATE:SC,110,Alegna Sofia Gastelum
FEMALE,RAW,TESTED,O,52,FULL-POWER,BENCH-PRESS,STATE:SC,75,Alegna Sofia Gastelum
FEMALE,RAW,TESTED,O,52,FULL-POWER,DEADLIFT,STATE:SC,140,Alegna Sofia Gastelum
FEMALE,RAW,TESTED,O,52,FULL-POWER,TOTAL,STATE:SC,325,Alegna Sofia Gastelum
FEMALE,RAW,TESTED,O,57,FULL-POWER,SQUAT,STATE:SC,112.5,Jazheel Xanat Garcia
FEMALE,RAW,TESTED,O,57,FULL-POWER,BENCH-PRESS,STATE:SC,60,Jazheel Xanat Garcia
FEMALE,RAW,TESTED,O,57,FULL-POWER,DEADLIFT,STATE:SC,122.5,Jazheel Xanat Garcia
FEMALE,RAW,TESTED,O,57,FULL-POWER,TOTAL,STATE:SC,295,Jazheel Xanat Garcia
FEMALE,RAW,TESTED,O,63,FULL-POWER,SQUAT,STATE:SC,160,Carolina Lopez
FEMALE,RAW,TESTED,O,63,FULL-POWER,BENCH-PRESS,STATE:SC,97.5,Allison Galindo
FEMALE,RAW,TESTED,O,63,FULL-POWER,DEADLIFT,STATE:SC,182.5,Carolina Lopez
FEMALE,RAW,TESTED,O,63,FULL-POWER,TOTAL,STATE:SC,430,Carolina Lopez
FEMALE,RAW,TESTED,O,69,FULL-POWER,SQUAT,STATE:SC,155,Yulissa Nuñez
FEMALE,RAW,TESTED,O,69,FULL-POWER,BENCH-PRESS,STATE:SC,97.5,Yulissa Nuñez
FEMALE,RAW,TESTED,O,69,FULL-POWER,DEADLIFT,STATE:SC,177.5,Yulissa Nuñez
FEMALE,RAW,TESTED,O,69,FULL-POWER,TOTAL,STATE:SC,430,Yulissa Nuñez
FEMALE,RAW,TESTED,O,76,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,76,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,76,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,76,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,O,84,FULL-POWER,SQUAT,STATE:SC,200,Diana Jimena Valenzuela
FEMALE,RAW,TESTED,O,84,FULL-POWER,BENCH-PRESS,STATE:SC,80,Diana Jimena Valenzuela
FEMALE,RAW,TESTED,O,84,FULL-POWER,DEADLIFT,STATE:SC,185,Diana Jimena Valenzuela
FEMALE,RAW,TESTED,O,84,FULL-POWER,TOTAL,STATE:SC,465,Diana Jimena Valenzuela
FEMALE,RAW,TESTED,O,84+,FULL-POWER,SQUAT,STATE:SC,175,Alejandra Carrera
FEMALE,RAW,TESTED,O,84+,FULL-POWER,BENCH-PRESS,STATE:SC,90,Cinthya Rivera
FEMALE,RAW,TESTED,O,84+,FULL-POWER,DEADLIFT,STATE:SC,152.5,Cinthya Rivera
FEMALE,RAW,TESTED,O,84+,FULL-POWER,TOTAL,STATE:SC,397.5,Cinthya Rivera
FEMALE,RAW,TESTED,M1,43,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,43,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,43,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,43,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,47,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,47,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,47,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,47,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,52,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,52,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,52,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,52,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,57,FULL-POWER,SQUAT,STATE:SC,105,Johanna Arevalo
FEMALE,RAW,TESTED,M1,57,FULL-POWER,BENCH-PRESS,STATE:SC,47.5,Johanna Arevalo
FEMALE,RAW,TESTED,M1,57,FULL-POWER,DEADLIFT,STATE:SC,107.5,Johanna Arevalo
FEMALE,RAW,TESTED,M1,57,FULL-POWER,TOTAL,STATE:SC,260,Johanna Arevalo
FEMALE,RAW,TESTED,M1,63,FULL-POWER,SQUAT,STATE:SC,135,Eva Olmos
FEMALE,RAW,TESTED,M1,63,FULL-POWER,BENCH-PRESS,STATE:SC,80,Eva Olmos
FEMALE,RAW,TESTED,M1,63,FULL-POWER,DEADLIFT,STATE:SC,140,Eva Olmos
FEMALE,RAW,TESTED,M1,63,FULL-POWER,TOTAL,STATE:SC,355,Eva Olmos
FEMALE,RAW,TESTED,M1,69,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,69,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,69,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,69,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,76,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,76,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,76,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,76,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84,FULL-POWER,TOTAL,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84+,FULL-POWER,SQUAT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84+,FULL-POWER,BENCH-PRESS,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84+,FULL-POWER,DEADLIFT,STATE:SC,n/a,
FEMALE,RAW,TESTED,M1,84+,FULL-POWER,TOTAL,STATE:SC,n/a,
